sr no ,rank,cutoff,intitute name,branch,Exam
179,90885,10.7058476,"4135 - Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &
Technology, Nagpur",Mechanical Engineering,MHT-CET
180,90941,10.4473963,"5177 - Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Artificial Intelligence and Data Science,MHT-CET
181,91022,10.3398176,"5418 - Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Civil Engineering,MHT-CET
182,91025,10.3398176,"1127 - Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of
Engineering and Technology, Yavatmal","Electronics and Telecommunication
Engg",MHT-CET
183,91059,10.3100943,"4145 - Wainganga College of Engineering and Management, Dongargaon, Nagpur",Information Technology,MHT-CET
184,91074,10.3100943,"6643 - S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",Electrical Engineering,MHT-CET
185,91077,10.3100943,"3223 - Mahatma Education Society's Pillai HOC College of Engineering & Technology,
Tal. Khalapur. Dist. Raigad",Civil Engineering,MHT-CET
186,91138,9.9591292,"6269 - Shetkari Shikshan Mandal's Pad. Vasantraodada Patil Institute of Technology,
Budhgaon, Sangli","Electronics and Telecommunication
Engg",MHT-CET
187,91142,9.9591292,"1105 - Prof. Ram Meghe Institute of Technology & Research, Amravati",Mechanical Engineering,MHT-CET
188,91153,9.9257885,"4302 - Gondia Education Society's Manoharbhai Patel Institute Of Engineering &
Technology, Shahapur, Bhandara",Computer Engineering,MHT-CET
189,91225,9.3962008,"2136 - Aditya Engineering College , Beed",Computer Engineering,MHT-CET
190,91228,9.3962008,"1128 - Prof Ram Meghe College of Engineering and Management, Badnera",Civil Engineering,MHT-CET
191,91240,9.3962008,"6220 - Shri Vithal Education and Research Institute's College of Engineering,
Pandharpur",Mechanical Engineering,MHT-CET
192,91242,9.3962008,"2252 - Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering
and Management Studies, Parbhani",Computer Science and Engineering,MHT-CET
193,91444,8.8526285,"3193 - Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Production Engineering,MHT-CET
194,91472,8.7224127,"1114 - Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Mechanical Engineering,MHT-CET
195,91497,8.5640488,"6156 - Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",Mechanical Engineering,MHT-CET
196,91547,8.5473775,"6298 - Zeal Education Society's Zeal College of Engineering & Reserch, Narhe, Pune",Electrical Engineering,MHT-CET
197,91612,8.3227821,"6223 - Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of
Engineering & Technology, Solapur",Electrical Engineering,MHT-CET
198,91712,7.6407734,"5151 - MET Bhujbal Knowledge City MET League's Engineering College, Adgaon,
Nashik.",Electrical Engineering,MHT-CET
199,91725,7.6407734,"6797 - Dnyanshree Institute Engineering and Technology, Satara",Civil Engineering,MHT-CET
